county_fips,state_abbr,county_name,poverty_pct,data_value
13007,GA,Baker,29.4,22.9
13121,GA,Fulton,12.9,10.9
12095,FL,Orange,13,11.5
08023,CO,Costilla,22.3,17
12111,FL,St. Lucie,11.6,11.2
13087,GA,Decatur,24.8,15.3
13065,GA,Clinch,22.9,14.8
09170,CT,South Central Connecticut,11.6,9.2
13047,GA,Catoosa,8.7,12.5
12019,FL,Clay,9.1,10.3
08041,CO,El Paso,8.5,8.4
08019,CO,Clear Creek,6.8,9
12033,FL,Escambia,14.5,12.8
08105,CO,Rio Grande,14.9,12.2
13003,GA,Atkinson,25,18
12091,FL,Okaloosa,9.3,10.8
13125,GA,Glascock,12.2,11.8
13061,GA,Clay,23,21.5
08025,CO,Crowley,18.2,11.3
08015,CO,Chaffee,10,10.2
12101,FL,Pasco,11.1,10.3
08057,CO,Jackson,18.2,13.9
12113,FL,Santa Rosa,8.4,9.3
08009,CO,Baca,24.1,13.4
08013,CO,Boulder,11.4,7.1
13073,GA,Columbia,6.8,10.7
12023,FL,Columbia,17,15.1
13103,GA,Effingham,7.4,10.6
08097,CO,Pitkin,7.2,8.4
13163,GA,Jefferson,18.8,15.5
08113,CO,San Miguel,8.4,8.7
13037,GA,Calhoun,22.7,18.5
13051,GA,Chatham,14.3,12.1
13025,GA,Brantley,16.9,14.4
06079,CA,San Luis Obispo,12.8,8.6
12117,FL,Seminole,9.2,9.8
08005,CO,Arapahoe,8.5,8.5
10001,DE,Kent,11.3,14.3
08059,CO,Jefferson,6.7,8.3
12119,FL,Sumter,9.1,16
08001,CO,Adams,9.4,9.7
09110,CT,Capitol,10.3,11
13141,GA,Hancock,31.5,22.8
12107,FL,Putnam,23.9,17.5
08067,CO,La Plata,12.4,9.3
12075,FL,Levy,17.2,16.1
12079,FL,Madison,20.9,16.8
12103,FL,Pinellas,11.4,13.1
13153,GA,Houston,10.1,12.2
13137,GA,Habersham,13.6,12.9
08091,CO,Ouray,5,10
08063,CO,Kit Carson,9.1,11.4
12059,FL,Holmes,14.4,14.5
13019,GA,Berrien,22.1,13.5
08067,CO,La Plata,12.4,7.5
08121,CO,Washington,7.6,10.5
13163,GA,Jefferson,18.8,18.5
13101,GA,Echols,12.4,13.6
12115,FL,Sarasota,8.2,13
06075,CA,San Francisco,10.6,10.2
09160,CT,Northwest Hills,9.2,10
08005,CO,Arapahoe,8.5,8
13127,GA,Glynn,16.3,12
08079,CO,Mineral,13,10.5
06113,CA,Yolo,16.3,9.3
13005,GA,Bacon,20.9,13
13069,GA,Coffee,19.8,15
08071,CO,Las Animas,17.4,13.7
09150,CT,Northeastern Connecticut,8.6,8
06105,CA,Trinity,18,15.9
12029,FL,Dixie,19.3,12.3
13145,GA,Harris,7.4,12.6
08037,CO,Eagle,8.3,7.5
13133,GA,Greene,8.8,15.6
08019,CO,Clear Creek,6.8,6.8
12001,FL,Alachua,19.7,11.2
12017,FL,Citrus,15.5,10.2
12037,FL,Franklin,17.3,11.2
13117,GA,Forsyth,4.5,8.8
12049,FL,Hardee,24.3,14.4
10005,DE,Sussex,11.5,14.2
12045,FL,Gulf,11.6,10.9
12099,FL,Palm Beach,11.1,13.7
13059,GA,Clarke,25.9,13.3
08107,CO,Routt,6.4,6.8
13053,GA,Chattahoochee,16.2,7.5
12009,FL,Brevard,9.9,10
11001,DC,District of Columbia,14.5,7.8
06087,CA,Santa Cruz,11.2,9
08101,CO,Pueblo,15.4,12.3
08049,CO,Grand,9,9.1
13037,GA,Calhoun,22.7,17.1
08033,CO,Dolores,18.8,11.5
06077,CA,San Joaquin,12.6,11.7
13159,GA,Jasper,14,12.1
08053,CO,Hinsdale,4.5,6.4
06091,CA,Sierra,12.3,10.1
13157,GA,Jackson,8.3,10.4
08109,CO,Saguache,17.6,15.1
13147,GA,Hart,11.5,15.3
08093,CO,Park,7.2,10.2
08041,CO,El Paso,8.5,8.7
13091,GA,Dodge,22.2,16.7
08025,CO,Crowley,18.2,11
08027,CO,Custer,9.7,7.8
12041,FL,Gilchrist,11.2,12.8
08087,CO,Morgan,12.3,10.9
13049,GA,Charlton,22.5,15.4
13105,GA,Elbert,20.6,16.6
08043,CO,Fremont,14,9.3
12083,FL,Marion,14.6,10.9
12079,FL,Madison,20.9,13.3
12067,FL,Lafayette,17.8,12.8
06073,CA,San Diego,10.4,9.4
13021,GA,Bibb,24.8,16.9
08083,CO,Montezuma,13.2,8.9
12053,FL,Hernando,12,14.9
06083,CA,Santa Barbara,13.8,10.8
12063,FL,Jackson,18.8,13.1
13043,GA,Candler,17.5,16.5
08117,CO,Summit,7.4,7.9
12027,FL,DeSoto,23.1,17.6
13085,GA,Dawson,9.2,9.6
06073,CA,San Diego,10.4,10
09120,CT,Greater Bridgeport,13.2,10.3
12119,FL,Sumter,9.1,9.1
12003,FL,Baker,13.1,12.3
12127,FL,Volusia,12.2,13.5
13019,GA,Berrien,22.1,16
12065,FL,Jefferson,20.3,16.3
08125,CO,Yuma,15,10.9
12035,FL,Flagler,9.4,13.7
08121,CO,Washington,7.6,8.2
08087,CO,Morgan,12.3,9.9
08017,CO,Cheyenne,11.4,11.3
12103,FL,Pinellas,11.4,9.8
06077,CA,San Joaquin,12.6,12.3
08011,CO,Bent,31.7,14.7
12023,FL,Columbia,17,12.4
08097,CO,Pitkin,7.2,6.5
06083,CA,Santa Barbara,13.8,10.3
12005,FL,Bay,11.7,10
08113,CO,San Miguel,8.4,7.1
13059,GA,Clarke,25.9,10.9
